GNI,DR,SC,3BD,HOS,LifeEx,pop,urb,WLE,WUE,MYE,MAE,MLE,MUE,WAE
2,118.0,33.2,24.9,6.57,58.1,33.5,14.7,30.7,5.88,5.77,64.0,26.9,9.05,63.4
5,48.8,22.7,24.0,4.54,74.9,88.9,30.1,34.4,10.6,8.34,48.0,44.9,7.15,55.0
3,87.4,46.3,30.1,8.81,65.8,23.9,30.8,26.5,15.8,4.83,22.1,64.6,13.3,57.7
4,109.0,42.4,20.8,6.47,57.1,14.2,37.8,45.3,5.87,6.81,48.4,43.0,8.59,48.8
2,88.3,31.5,24.8,5.56,52.9,12.9,30.7,70.8,8.54,8.31,20.5,70.0,9.51,20.6
11,53.0,18.6,22.3,4.44,77.3,2.91,50.4,55.5,22.6,10.1,21.6,69.6,8.83,22.0
6,102.0,37.2,24.4,6.33,57.2,25.1,45.8,46.4,7.26,5.75,34.5,45.5,19.9,46.3
8,45.2,16.9,28.5,4.55,73.8,2.9,60.9,39.0,44.6,11.4,10.4,70.9,18.7,16.4
16,50.9,26.4,13.8,5.02,71.5,8.49,55.2,33.1,49.0,10.6,13.1,66.5,20.4,17.9
3,66.3,39.6,28.3,5.86,70.6,151.0,25.3,69.2,11.5,4.66,29.0,58.6,12.5,19.3
2,111.0,46.1,22.2,6.86,59.8,9.75,41.5,69.7,3.42,3.18,49.0,39.4,11.5,26.9
6,78.0,23.5,17.5,4.78,69.0,10.4,57.1,58.7,14.3,8.17,24.5,42.0,33.5,26.9
2,112.0,32.3,38.4,7.31,58.4,16.4,23.5,44.2,1.77,1.7,68.4,25.8,5.89,54.0
1,100.0,57.2,37.2,5.97,58.6,9.29,10.3,11.6,3.71,3.12,64.8,29.5,5.68,84.7
3,62.4,35.6,9.83,5.6,67.5,14.8,16.8,46.5,5.75,4.94,48.9,41.5,9.64,47.8
3,95.2,31.7,40.9,7.55,56.1,21.5,48.0,57.0,1.74,6.03,39.4,52.8,7.77,41.3
2,126.0,39.1,27.2,7.57,51.9,12.8,23.1,54.5,2.86,2.36,60.6,27.2,12.2,42.6
12,53.6,11.7,42.2,4.75,75.9,46.1,75.5,82.7,10.2,8.19,23.5,67.2,9.24,7.05
3,85.3,30.7,35.7,6.89,62.6,0.72,31.4,43.3,32.9,5.14,31.5,40.9,27.6,23.8
5,83.9,22.7,20.0,5.66,61.4,4.51,65.1,42.0,3.37,7.99,43.2,47.3,10.3,55.0
1,110.0,42.7,30.3,6.86,57.9,69.1,33.1,33.1,3.61,6.51,54.5,29.2,16.3,63.3
3,88.6,29.7,29.4,7.36,54.3,21.5,45.2,64.5,1.54,3.72,57.8,33.5,9.33,34.5
12,59.4,7.52,35.7,4.6,72.5,9.93,72.9,78.5,20.5,8.32,14.4,71.5,14.2,0.98
10,61.9,25.0,18.3,5.42,70.7,86.8,39.2,37.8,48.6,7.86,15.1,60.8,24.1,13.6
2,124.0,41.9,2.55,6.71,63.2,2.88,53.7,36.9,7.76,5.01,21.6,77.2,2.45,55.3
9,84.9,28.3,26.2,6.31,49.9,1.08,24.9,77.8,12.7,8.01,12.5,69.9,17.6,9.46
1,99.9,43.1,4.92,5.92,63.3,92.8,17.6,57.9,4.82,2.76,65.3,28.0,6.75,37.3
16,76.4,16.6,32.1,6.55,62.9,1.75,84.2,62.9,14.7,8.01,14.4,63.1,22.5,22.4
1,95.1,24.7,55.3,13.6,60.2,1.91,49.0,44.7,4.96,4.14,33.2,52.9,13.9,50.3
4,88.0,21.2,15.2,5.37,61.7,26.0,48.7,62.0,6.05,6.81,44.4,43.5,12.1,31.9
7,77.4,48.0,23.6,3.65,72.2,15.3,47.6,75.3,13.0,6.81,43.8,48.0,8.19,11.8
2,109.0,31.0,49.6,8.49,57.9,10.7,32.6,45.3,2.06,2.86,52.4,40.3,7.33,52.7
7,58.5,14.6,33.9,5.02,68.6,0.76,27.4,65.6,23.3,8.41,21.3,69.1,9.64,11.1
2,70.7,21.1,16.0,5.87,61.3,10.3,40.2,82.6,6.99,5.37,41.1,44.3,14.6,10.4
4,66.4,21.6,22.2,5.63,73.8,8.65,49.1,68.8,13.9,6.34,43.3,45.7,11.1,17.3
5,55.2,41.9,22.3,5.85,67.5,1266.0,31.6,40.0,9.87,5.87,32.1,59.1,8.81,50.1
9,65.1,7.8,36.3,6.31,73.7,8.09,82.4,29.7,67.5,10.6,3.28,75.0,21.7,2.74
21,51.2,11.1,24.4,4.55,68.8,16.8,53.5,64.2,50.1,11.7,6.2,68.6,25.2,1.24
3,89.4,29.2,17.4,5.56,62.7,44.4,29.4,44.3,20.1,7.82,26.9,51.4,21.8,35.6
3,63.5,18.0,28.2,5.31,69.9,5.61,32.3,49.9,48.0,11.5,17.3,63.0,19.6,2.09
3,69.7,35.2,16.1,5.84,47.4,2.02,24.7,68.7,11.1,6.56,25.5,67.3,7.19,20.2
1,95.8,31.9,33.1,6.75,60.7,4.12,53.0,42.4,2.75,5.07,48.2,40.1,11.8,54.9
1,93.7,46.9,7.48,5.84,64.3,22.5,17.2,21.6,3.47,4.36,79.5,21.3,8.09,81.2
1,109.0,43.8,23.2,5.73,58.6,15.4,15.5,36.1,3.95,5.37,44.8,48.2,7.0,60.0
11,55.0,16.8,49.6,7.93,76.7,0.41,35.9,64.2,32.2,6.36,23.1,56.1,20.7,3.69
2,119.0,38.2,43.3,7.38,56.1,16.0,22.9,59.0,1.52,1.76,53.9,38.2,7.96,39.5
4,93.8,29.4,22.8,7.64,63.1,3.7,41.7,75.7,7.44,4.98,26.8,62.7,10.5,16.9
6,45.7,6.4,13.9,3.25,70.6,3.56,37.2,50.3,34.9,11.1,15.8,69.4,14.8,14.8
7,43.6,18.0,28.8,7.49,75.0,33.4,57.8,49.5,16.5,7.14,24.1,62.5,13.3,34.1
1,109.0,42.9,23.2,5.67,53.9,24.8,31.3,39.9,7.37,3.78,39.4,51.8,8.8,52.8
4,56.2,31.5,14.0,5.48,64.5,51.5,26.3,70.4,9.11,5.34,26.0,65.7,8.35,20.5
10,76.3,22.2,43.2,6.44,59.4,2.2,46.0,76.0,17.3,7.89,17.8,64.2,17.9,6.66
2,71.7,39.3,31.3,5.77,68.4,27.1,22.6,21.2,4.65,3.96,25.7,66.5,7.8,74.1
4,51.2,15.9,20.7,3.54,73.0,5.98,59.2,80.0,8.93,7.11,31.7,64.1,5.18,11.1
1,146.0,42.9,22.4,7.74,58.8,17.8,16.4,83.1,7.86,1.22,50.2,43.6,6.13,9.08
5,97.3,37.2,30.0,6.71,51.8,167.0,38.5,72.8,7.48,6.21,38.6,48.5,12.9,19.7
4,75.8,44.6,21.4,8.93,65.8,187.0,32.9,60.2,13.1,4.73,13.2,74.3,12.5,26.7
3,79.5,43.5,37.6,6.45,62.6,8.44,11.5,45.2,14.7,5.35,31.4,44.7,23.8,40.1
11,59.7,18.0,26.3,4.9,75.0,29.5,69.3,54.9,13.1,8.95,35.7,52.1,12.3,32.0
2,89.3,41.7,30.1,5.44,65.4,10.6,14.8,22.0,2.84,4.26,66.4,28.4,5.24,75.2
3,94.7,19.4,21.4,5.08,68.3,0.19,60.3,79.7,4.59,5.33,22.7,70.6,6.7,15.7
3,93.2,18.5,60.9,13.8,65.4,13.4,41.0,62.0,4.0,2.72,31.2,59.9,8.88,34.0
2,102.0,37.4,45.4,7.48,51.0,6.72,31.5,45.3,3.39,3.0,54.5,35.9,9.59,51.3
12,54.1,26.1,29.2,4.79,60.1,52.8,63.2,78.3,18.3,9.25,6.92,77.0,16.0,3.44
3,65.7,26.8,43.9,7.9,69.3,7.88,24.2,64.2,28.9,10.3,3.27,78.6,18.1,6.91
2,101.0,38.7,32.6,6.86,60.5,47.2,25.7,34.1,3.44,5.49,58.6,34.7,6.65,62.4
6,92.2,52.3,53.2,6.92,67.7,1.14,25.3,40.7,7.97,5.51,50.0,31.6,18.3,51.4
1,95.5,27.3,25.8,6.77,58.7,6.79,37.8,68.4,0.91,4.75,48.4,47.5,4.03,30.7
2,116.0,32.2,25.3,6.51,59.0,34.7,16.2,32.8,6.5,5.91,58.5,31.2,10.3,60.7
5,48.8,22.7,24.0,4.57,75.0,89.8,30.7,34.8,10.9,8.36,46.9,46.1,7.06,54.3
3,86.8,46.3,29.5,8.71,65.9,24.5,30.8,27.3,16.5,4.89,21.7,65.0,13.3,56.2
3,109.0,41.6,21.8,6.51,58.5,14.6,38.3,45.0,5.89,6.89,49.3,42.2,8.45,49.1
2,88.8,30.3,25.5,5.55,55.0,13.1,30.6,71.2,9.54,8.39,19.0,70.4,10.6,19.3
11,52.6,17.2,21.9,4.37,77.6,2.9,52.2,55.5,22.6,10.4,21.6,69.6,8.83,22.0
6,105.0,37.2,25.1,6.35,58.1,26.1,50.4,46.4,7.26,5.74,34.5,45.5,19.9,46.3
8,45.9,15.0,28.5,4.55,74.1,2.91,60.4,38.9,43.6,11.4,10.9,70.1,19.0,17.5
16,50.9,26.4,13.8,5.02,71.8,8.49,55.2,33.1,49.0,10.6,13.1,66.5,20.4,17.9
3,64.9,37.9,28.9,5.74,70.9,153.0,26.3,59.1,9.32,4.74,28.3,60.3,11.4,31.6
2,110.0,43.8,23.1,6.97,60.1,10.0,41.3,69.7,3.61,3.19,48.5,39.5,12.0,26.7
6,77.6,22.6,17.7,4.7,69.5,10.5,56.5,58.1,14.5,8.26,24.1,41.9,34.0,27.4
2,113.0,31.1,37.6,7.05,58.9,16.9,24.1,46.2,1.85,1.74,67.4,26.4,6.27,51.9
1,101.0,56.9,36.8,5.97,59.1,9.6,10.4,11.7,3.68,3.23,64.5,29.7,5.79,84.7
3,62.7,33.8,10.8,5.57,67.9,15.0,16.3,48.8,6.19,5.02,47.9,42.4,9.75,45.0
3,95.3,31.2,40.5,7.58,56.6,22.1,48.5,56.8,1.52,6.17,39.9,53.0,7.17,41.7
2,129.0,39.3,27.6,7.68,52.4,13.2,22.9,57.7,2.36,2.45,61.5,28.4,10.1,39.9
13,52.6,11.3,43.4,4.67,76.1,46.6,75.9,81.9,10.9,8.31,23.5,67.1,9.38,7.21
3,84.7,30.2,35.5,6.83,62.9,0.74,31.6,42.1,34.9,5.3,31.2,39.7,29.1,23.0
6,83.1,22.2,21.3,5.66,62.0,4.63,65.9,39.9,3.21,8.06,46.0,45.9,9.78,57.6
1,114.0,42.4,30.7,6.9,58.4,71.4,34.5,32.8,3.61,6.75,55.4,28.2,16.4,63.6
3,89.9,29.5,29.0,7.18,54.9,21.9,45.6,66.6,1.58,3.75,59.0,31.9,10.5,32.8
12,58.3,7.0,35.7,4.57,72.8,10.0,73.7,78.8,20.6,8.44,12.9,73.0,14.1,0.59
10,62.5,23.6,18.2,5.27,70.9,88.6,38.3,37.7,49.0,7.94,14.2,61.9,23.9,13.3
2,125.0,41.8,2.49,6.76,63.7,2.92,55.3,35.2,7.76,5.22,19.9,79.2,2.23,57.0
9,82.8,27.0,25.7,6.22,51.7,1.09,25.8,77.8,12.7,8.16,12.5,69.9,17.6,9.46
1,101.0,42.0,5.21,5.9,64.0,95.5,17.1,57.6,5.32,2.86,63.8,28.8,7.42,37.1
17,75.9,16.0,31.0,6.38,63.6,1.79,84.9,63.4,15.2,8.16,14.1,64.0,21.9,21.4
1,95.7,24.2,55.7,13.8,60.4,1.96,50.7,44.7,4.96,4.22,33.2,52.9,13.9,50.3
4,86.3,19.6,14.5,5.27,62.1,26.6,49.1,62.3,6.42,7.11,43.6,44.0,12.5,31.2
7,76.3,47.6,24.1,4.46,72.6,15.6,45.9,75.5,13.0,6.35,42.9,48.7,8.33,11.5
2,109.0,31.0,50.0,8.43,58.4,10.9,33.0,47.5,2.18,2.9,51.4,41.1,7.52,50.3
7,56.8,12.9,35.8,5.0,68.8,0.76,27.3,65.6,23.3,8.46,21.3,69.1,9.64,11.1
2,70.8,21.1,16.6,5.82,61.7,10.4,40.0,82.6,7.3,5.5,40.3,44.8,14.9,10.1
4,64.2,20.8,22.2,5.56,74.1,8.82,49.4,68.7,14.2,6.42,42.8,45.6,11.7,17.1
5,55.0,40.9,20.8,5.84,67.9,1280.0,32.0,39.7,9.81,6.01,33.1,58.2,8.69,50.5
8,64.0,7.54,35.7,6.2,73.9,8.43,83.7,30.0,67.6,10.7,3.29,75.0,21.7,2.46
22,52.4,10.0,24.8,4.55,69.6,17.1,53.4,65.1,50.6,11.7,5.54,68.5,26.0,1.09
3,88.2,27.6,16.9,5.52,63.4,45.5,31.9,47.2,17.1,7.94,26.3,54.3,19.4,35.7
