Country,2010_SC,2011_SC,2012_SC,2013_SC,2014_SC,2015_SC,2016_SC,2017_SC,2018_SC,2019_SC,2020_SC
Chad,38.7,38.9,39.1,39.3,39.5,39.7,39.2,38.8,38.3,37.8,37.3
Colombia,12.5,12.1,11.7,11.3,10.8,10.4,10,9.59,9.17,8.75,8.34
Comoros,31.6,31.2,30.7,30.2,29.8,29.3,28.8,28.4,27.9,27.4,27
Congo Brazzaville,24.4,23.2,22.7,22.2,21.7,21.2,20.7,20.2,19.7,19.2,18.7
Congo Democratic Republic,43.4,43.1,42.7,42.4,42.3,42.1,42,41.8,41.7,41.6,41.4
Costa Rica,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
Cote d'Ivoire,29.9,29.8,29.7,29.5,29.4,29.2,29.1,29,28.8,28.7,28.5
Cuba,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
Djibouti,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2
Dominican Republic,8.55,8.03,7.52,7,6.77,6.53,6.3,6.07,5.84,5.6,5.37
Egypt,27.7,26.4,25,23.6,22.2,21.5,20.7,20,19.2,18.5,17.8
El Salvador,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7
Eritrea,42.2,42,41.9,41.8,41.7,41.5,41.4,41.3,41.1,41,40.9
Eswatini,31,29.7,28.3,27,25.6,24.7,23.9,23,22.2,21.3,20.5
Ethiopia,45.3,44.3,43.1,42,40.8,39.7,38.5,37.3,36.2,35,33.9
Gabon,18.2,17.4,16.6,16,15.5,14.9,14.4,13.8,13.3,12.7,12.2
Gambia,25.7,25.2,24.7,24.2,23.1,22.1,21,20,18.9,18.3,17.6
Georgia,11,10.4,9.72,9.07,8.42,7.76,7.11,6.45,5.8,5.61,5.41
Ghana,24.5,22.8,21.2,19.6,18,17.8,17.7,17.5,17.3,17.2,17
Guatemala,48.8,48.4,48,47.6,47.2,46.8,46.4,46,45.6,45.2,44.8
Guinea,33.3,32.1,31,31,31,31,30.9,30.9,30.9,30.9,30.9
